Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(-1.56:0.80:0.30),,
 01/04 20:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,0,0,0,0,0
(-30.36;-12.06)=,0,0,0,0,0
(-30.36;0.56)=,0,0,0,0,0
(-30.36;13.18)=,0,0,0,0,0
(-30.36;25.80)=,0,0,0,0,0
Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(-1.56:0.80:0.30),,
 01/05 08:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,416,416,416,416,416
(-30.36;-12.06)=,416,3086,3148,3182,416
(-30.36;0.56)=,416,3113,3133,3181,416
(-30.36;13.18)=,416,3136,3151,3191,416
(-30.36;25.80)=,416,416,416,416,2958
 01/05 09:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,2439,2439,2439,2439,2439
(-30.36;-12.06)=,2439,17682,18060,18546,2439
(-30.36;0.56)=,2439,17722,17965,18541,2439
(-30.36;13.18)=,2439,17948,18040,18581,2439
(-30.36;25.80)=,2439,2439,2439,2439,17153
 01/05 10:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,4799,4799,4799,4799,4799
(-30.36;-12.06)=,4799,35505,36029,36960,4799
(-30.36;0.56)=,4799,35400,35840,36989,4799
(-30.36;13.18)=,4799,35769,35944,36887,4799
(-30.36;25.80)=,4799,4799,4799,4799,33634
 01/05 11:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,6789,6789,6789,6789,6789
(-30.36;-12.06)=,6789,51941,52592,53189,6789
(-30.36;0.56)=,6789,51928,52315,53159,6789
(-30.36;13.18)=,6789,52215,52476,53129,6789
(-30.36;25.80)=,6789,6789,6789,6789,47438
 01/05 12:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,8137,8137,8137,8137,8137
(-30.36;-12.06)=,8137,64116,64673,65080,8137
(-30.36;0.56)=,8137,64021,64329,64925,8137
(-30.36;13.18)=,8137,64312,64530,65104,8137
(-30.36;25.80)=,8137,8137,8137,8137,56642
 01/05 13:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,8874,8874,8874,8874,8874
(-30.36;-12.06)=,8874,71458,71853,72117,8874
(-30.36;0.56)=,8874,71341,71446,71875,8874
(-30.36;13.18)=,8874,71546,71451,72171,8874
(-30.36;25.80)=,8874,8874,8874,8874,60947
 01/05 14:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,8643,8643,8643,8643,8643
(-30.36;-12.06)=,8643,69924,70055,70330,8643
(-30.36;0.56)=,8643,69827,69788,70076,8643
(-30.36;13.18)=,8643,69884,69661,70347,8643
(-30.36;25.80)=,8643,8643,8643,8643,52931
 01/05 15:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,6975,6975,6975,6975,6975
(-30.36;-12.06)=,6975,55054,55094,55372,6975
(-30.36;0.56)=,6975,55014,54879,55150,6975
(-30.36;13.18)=,6975,55059,54898,55331,6975
(-30.36;25.80)=,6975,6975,6975,6975,45413
 01/05 16:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,4484,4484,4484,4484,4484
(-30.36;-12.06)=,4484,34501,34574,34765,4484
(-30.36;0.56)=,4484,34511,34391,34646,4484
(-30.36;13.18)=,4484,34617,34522,34757,4484
(-30.36;25.80)=,4484,4484,4484,4484,30948
 01/05 17:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,2293,2293,2293,2293,2293
(-30.36;-12.06)=,2293,17503,17553,17661,2293
(-30.36;0.56)=,2293,17517,17461,17615,2293
(-30.36;13.18)=,2293,17600,17558,17678,2293
(-30.36;25.80)=,2293,2293,2293,2293,15935
 01/05 18:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,1661,1661,1661,1661,1661
(-30.36;-12.06)=,1661,12576,12602,12681,1661
(-30.36;0.56)=,1661,12583,12536,12647,1661
(-30.36;13.18)=,1661,12648,12609,12694,1661
(-30.36;25.80)=,1661,1661,1661,1661,11449
 01/05 19:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,559,559,559,559,559
(-30.36;-12.06)=,559,4254,4268,4296,559
(-30.36;0.56)=,559,4259,4248,4288,559
(-30.36;13.18)=,559,4283,4275,4306,559
(-30.36;25.80)=,559,559,559,559,3914
 01/05 20:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,0,0,0,0,0
